id,title,neighborhood,type,price_per_night,price_total_xaf,rating,reviews,occupancy_rate,monthly_revenue,superhost,source,scraped_at
DLA-0368,Chambre privee - New Bell,New Bell,Chambre privee,12000.0,,4.59,140,0.49,176400,True,simulated,2026-06-08T22:46:06.061103
DLA-0369,Studio - Logbessou,Logbessou,Studio,20000.0,,4.59,66,0.57,342000,False,simulated,2026-06-08T22:46:06.061112
DLA-0370,Appartement entier - Bonapriso,Bonapriso,Appartement entier,53500.0,,4.2,106,0.68,1091400,False,simulated,2026-06-08T22:46:06.061124
DLA-0371,Studio - Makepe,Makepe,Studio,20500.0,,4.3,54,0.79,485850,False,simulated,2026-06-08T22:46:06.061134
DLA-0372,Chambre privee - New Bell,New Bell,Chambre privee,9000.0,,4.81,126,0.72,194400,True,simulated,2026-06-08T22:46:06.061142
DLA-0373,Appartement entier - Akwa,Akwa,Appartement entier,37500.0,,3.89,89,0.73,821250,False,simulated,2026-06-08T22:46:06.061151
DLA-0374,Villa - Bonapriso,Bonapriso,Villa,43500.0,,4.44,34,0.52,678600,True,simulated,2026-06-08T22:46:06.061161
DLA-0375,Appartement entier - Bonapriso,Bonapriso,Appartement entier,37000.0,,4.05,155,0.69,765900,False,simulated,2026-06-08T22:46:06.061172
DLA-0376,Appartement entier - Makepe,Makepe,Appartement entier,27000.0,,4.14,23,0.5,405000,False,simulated,2026-06-08T22:46:06.061183
DLA-0377,Appartement entier - Deido,Deido,Appartement entier,20500.0,,4.54,163,0.53,325950,False,simulated,2026-06-08T22:46:06.061192
DLA-0378,Appartement entier - Makepe,Makepe,Appartement entier,25500.0,,4.73,37,0.58,443700,True,simulated,2026-06-08T22:46:06.061202
DLA-0379,Appartement entier - Logbessou,Logbessou,Appartement entier,22500.0,,4.26,64,0.66,445500,False,simulated,2026-06-08T22:46:06.061212
DLA-0380,Appartement entier - New Bell,New Bell,Appartement entier,10000.0,,4.49,143,0.5,150000,False,simulated,2026-06-08T22:46:06.061221
DLA-0381,Appartement entier - Akwa,Akwa,Appartement entier,24000.0,,4.39,112,0.79,568800,False,simulated,2026-06-08T22:46:06.061231
DLA-0382,Chambre privee - Bonapriso,Bonapriso,Chambre privee,30000.0,,4.07,4,0.75,675000,False,simulated,2026-06-08T22:46:06.061239
DLA-0383,Studio - Makepe,Makepe,Studio,17500.0,,4.57,48,0.68,357000,True,simulated,2026-06-08T22:46:06.061248
DLA-0384,Appartement entier - Bonanjo,Bonanjo,Appartement entier,39500.0,,4.13,24,0.74,876900,False,simulated,2026-06-08T22:46:06.061257
DLA-0385,Appartement entier - Akwa,Akwa,Appartement entier,37500.0,,3.86,98,0.7,787500,False,simulated,2026-06-08T22:46:06.061267
DLA-0386,Studio - Logbessou,Logbessou,Studio,27500.0,,4.62,178,0.62,511500,False,simulated,2026-06-08T22:46:06.061277
DLA-0387,Appartement entier - Bonanjo,Bonanjo,Appartement entier,55000.0,,4.7,186,0.76,1254000,False,simulated,2026-06-08T22:46:06.061288
DLA-0388,Appartement entier - Akwa,Akwa,Appartement entier,39000.0,,4.58,15,0.54,631800,True,simulated,2026-06-08T22:46:06.061298
DLA-0389,Appartement entier - New Bell,New Bell,Appartement entier,14000.0,,4.01,11,0.55,231000,False,simulated,2026-06-08T22:46:06.061311
